# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.130     21.130     11.221
   20000      0.109     41.836     22.548
   30000      0.106     61.666     34.216
   40000      0.105     83.352     43.785
   50000      0.104     99.814     61.179
   60000      0.108    130.968     75.222
   70000      0.109    146.533     79.378
   80000      0.109    166.788     89.484
   90000      0.102    180.799     98.151

  100000      0.112    197.858    109.122
